"","Partner","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","Contract","MonthlyCharges","TotalCharges","Churn"
"60","No",72,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Two year",107.5,7853.7,"No"
"61","Yes",47,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",100.5,4707.1,"No"
"62","No",60,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",89.9,5450.7,"No"
"63","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","No","Two year",42.1,2962,"No"
"64","Yes",18,"Yes","No","DSL","No","No","Yes","Yes","One year",54.4,957.1,"No"
"65","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",94.4,857.25,"Yes"
"66","No",3,"Yes","No","DSL","No","Yes","No","Yes","Month-to-month",75.3,244.1,"No"
"67","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","One year",78.9,3650.35,"No"
"68","No",31,"Yes","No","DSL","No","Yes","Yes","Yes","Two year",79.2,2497.2,"No"
"69","Yes",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.15,930.9,"No"
"70","No",10,"Yes","No","Fiber optic","Yes","No","Yes","No","Month-to-month",79.85,887.35,"No"
"71","No",1,"Yes","No","DSL","No","No","No","Yes","Month-to-month",49.05,49.05,"No"
"72","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.4,1090.65,"No"
"73","Yes",64,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Two year",111.6,7099,"No"
"74","Yes",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",24.25,1424.6,"No"
"75","No",3,"Yes","No","DSL","Yes","No","No","Yes","Month-to-month",64.5,177.4,"No"
"76","No",56,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","One year",110.5,6139.5,"No"
"77","No",46,"Yes","No","DSL","No","No","No","No","One year",55.65,2688.85,"No"
"78","Yes",8,"Yes","No","DSL","Yes","Yes","No","No","Month-to-month",54.65,482.25,"No"
"79","No",30,"Yes","No","DSL","Yes","Yes","No","No","Month-to-month",74.75,2111.3,"No"
"80","Yes",45,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","One year",25.9,1216.6,"No"
"81","No",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",79.35,79.35,"Yes"
"82","Yes",11,"No","No phone service","DSL","Yes","No","No","No","Month-to-month",50.55,565.35,"No"
"83","Yes",7,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",75.15,496.9,"Yes"
"84","No",42,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Month-to-month",103.8,4327.5,"No"
"85","Yes",49,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.15,973.35,"No"
"86","No",9,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",99.3,918.75,"No"
"87","Yes",35,"Yes","No","DSL","Yes","No","No","No","One year",62.15,2215.45,"No"
"88","Yes",48,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.65,1057,"No"
"89","Yes",46,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.95,927.1,"No"
"90","Yes",29,"No","No phone service","DSL","No","No","No","No","Month-to-month",33.75,1009.25,"No"
"91","Yes",30,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",82.05,2570.2,"No"
"92","No",1,"Yes","No","Fiber optic","No","No","No","Yes","Month-to-month",74.7,74.7,"No"
"93","Yes",66,"Yes","Yes","DSL","Yes","No","Yes","Yes","Two year",84,5714.25,"No"
"94","No",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Month-to-month",111.05,7107,"No"
"95","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Two year",100.9,7459.05,"No"
"96","No",12,"Yes","Yes","Fiber optic","Yes","No","No","No","Month-to-month",78.95,927.35,"Yes"
"97","Yes",71,"Yes","Yes","DSL","Yes","Yes","No","Yes","One year",66.85,4748.7,"No"
"98","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",21.05,113.85,"Yes"
"99","No",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",21,1107.2,"No"
"100","Yes",25,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",98.5,2514.5,"Yes"
"101","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.2,20.2,"No"
"102","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.45,19.45,"No"
"103","No",38,"Yes","Yes","Fiber optic","No","No","Yes","Yes","One year",95,3605.6,"No"
"104","Yes",66,"No","No phone service","DSL","No","Yes","Yes","No","One year",45.55,3027.25,"No"
"105","Yes",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Two year",110,7611.85,"Yes"
"106","No",5,"No","No phone service","DSL","No","No","No","No","Month-to-month",24.3,100.2,"No"
"107","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","No","One year",104.15,7303.05,"No"
"108","No",32,"No","No phone service","DSL","Yes","No","No","No","One year",30.15,927.65,"No"
"109","No",43,"Yes","Yes","Fiber optic","No","No","No","No","One year",94.35,3921.3,"No"
"110","Yes",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.4,1363.25,"No"
"111","Yes",55,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Month-to-month",96.75,5238.9,"Yes"
"112","No",52,"Yes","No","DSL","Yes","No","Yes","Yes","One year",57.95,3042.25,"No"
"113","No",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",91.65,3954.1,"No"
"114","Yes",37,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",76.5,2868.15,"Yes"
"115","Yes",64,"No","No phone service","DSL","No","Yes","No","Yes","Two year",54.6,3423.5,"No"
"116","Yes",3,"Yes","No","Fiber optic","Yes","Yes","No","No","Month-to-month",89.85,248.4,"No"
"117","No",36,"No","No phone service","DSL","Yes","No","No","No","Two year",31.05,1126.35,"No"
"118","Yes",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Month-to-month",100.25,1064.65,"Yes"
"119","No",41,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.65,835.15,"No"
"120","Yes",27,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Month-to-month",85.2,2151.6,"No"
"121","Yes",56,"Yes","Yes","Fiber optic","No","No","Yes","No","One year",99.8,5515.45,"No"
"122","No",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.7,112.75,"No"
"123","No",3,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",74.4,229.55,"Yes"
"124","Yes",7,"Yes","No","DSL","Yes","No","No","No","Month-to-month",50.7,350.35,"No"
"125","Yes",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.85,62.9,"No"
"126","No",33,"Yes","No","Fiber optic","Yes","No","No","Yes","Two year",88.95,3027.65,"No"
"127","No",27,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",78.05,2135.5,"Yes"
"128","Yes",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",23.55,1723.95,"No"
"129","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.75,19.75,"No"
"130","No",71,"No","No phone service","DSL","Yes","Yes","No","No","One year",56.45,3985.35,"No"
"131","No",13,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",85.95,1215.65,"No"
"132","Yes",25,"No","No phone service","DSL","Yes","Yes","Yes","No","Month-to-month",58.6,1502.65,"Yes"
"133","No",67,"Yes","No","DSL","No","No","No","Yes","Two year",50.55,3260.1,"No"
"134","No",1,"No","No phone service","DSL","No","No","No","No","Month-to-month",35.45,35.45,"Yes"
"135","No",2,"Yes","No","DSL","No","No","No","No","Month-to-month",44.35,81.25,"Yes"
"136","No",43,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.7,1188.2,"No"
"137","No",23,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",75,1778.5,"No"
"138","Yes",64,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.2,1277.75,"No"
"139","No",57,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.6,1170.55,"No"
"140","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.45,70.45,"Yes"
"141","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",88.05,6425.65,"No"
"142","No",8,"Yes","Yes","DSL","Yes","No","No","Yes","Month-to-month",71.15,563.65,"Yes"
"143","Yes",61,"Yes","Yes","Fiber optic","No","Yes","No","No","Two year",101.05,5971.25,"No"
"144","No",64,"Yes","Yes","Fiber optic","Yes","Yes","No","No","One year",84.3,5289.05,"No"
"145","Yes",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",23.95,1756.2,"No"
"146","Yes",65,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Two year",99.05,6416.7,"No"
"147","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.6,61.35,"No"
"148","No",1,"Yes","No","DSL","No","No","No","No","Month-to-month",45.65,45.65,"Yes"
"149","No",30,"Yes","No","DSL","No","Yes","Yes","No","One year",64.5,1929.95,"No"
"150","Yes",15,"Yes","No","DSL","No","Yes","Yes","Yes","Month-to-month",69.5,1071.4,"No"
"151","Yes",8,"Yes","No","DSL","No","No","No","Yes","Month-to-month",68.55,564.35,"No"
"152","No",7,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",95,655.5,"Yes"
"153","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","One year",108.15,7930.55,"No"
"154","Yes",62,"Yes","No","DSL","Yes","Yes","Yes","Yes","Two year",86.1,5215.25,"No"
"155","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.7,113.5,"No"
"156","Yes",14,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",80.9,1152.8,"No"
"157","No",22,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",84.15,1821.95,"No"
"158","Yes",22,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.15,419.9,"No"
"159","Yes",16,"Yes","No","DSL","Yes","No","Yes","No","Two year",64.25,1024,"No"
"160","No",10,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.7,251.6,"No"
"161","No",13,"Yes","No","DSL","Yes","Yes","No","No","Month-to-month",56,764.55,"No"
"162","Yes",20,"Yes","Yes","Fiber optic","Yes","No","No","No","Month-to-month",82.4,1592.35,"Yes"
"163","No",2,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.7,135.2,"No"
"164","No",53,"Yes","Yes","DSL","No","Yes","Yes","Yes","Two year",73.9,3958.25,"No"
"165","Yes",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.6,233.9,"No"
"166","Yes",69,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.9,1363.45,"No"
"167","No",4,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.9,273,"Yes"
"168","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",89.05,6254.45,"No"
"169","Yes",58,"No","No phone service","DSL","No","Yes","Yes","No","Month-to-month",45.3,2651.2,"Yes"
"170","Yes",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.4,321.4,"No"
"171","Yes",43,"Yes","No","Fiber optic","Yes","No","Yes","Yes","One year",84.25,3539.25,"No"
"172","Yes",2,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Month-to-month",104.4,242.8,"Yes"
"173","Yes",14,"Yes","No","DSL","No","Yes","Yes","Yes","Two year",81.95,1181.75,"No"
"174","Yes",53,"Yes","No","Fiber optic","No","No","Yes","No","One year",94.85,5000.2,"Yes"
"175","No",32,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.55,654.55,"No"
"176","Yes",34,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",24.7,780.2,"No"
"177","No",15,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",74.45,1145.7,"Yes"
"178","No",7,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",76.45,503.6,"Yes"
"179","Yes",15,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",105.35,1559.25,"No"
"180","Yes",61,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.55,1252,"No"
"181","No",1,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",29.95,29.95,"Yes"
"182","No",1,"Yes","No","DSL","No","No","No","No","Month-to-month",45.3,45.3,"No"
"183","No",8,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",84.5,662.65,"Yes"
"184","Yes",33,"Yes","No","DSL","Yes","No","Yes","No","One year",74.75,2453.3,"No"
"185","No",13,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",79.25,1111.65,"Yes"
"186","Yes",1,"No","No phone service","DSL","No","No","No","No","Month-to-month",24.8,24.8,"Yes"
"187","No",20,"Yes","No","DSL","No","Yes","No","No","Month-to-month",51.8,1023.85,"No"
"188","No",3,"No","No phone service","DSL","No","No","No","Yes","Month-to-month",30.4,82.15,"No"
"189","No",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.65,244.8,"No"
"190","Yes",40,"Yes","Yes","DSL","No","Yes","No","No","Month-to-month",56.6,2379.1,"No"
"191","Yes",43,"Yes","Yes","DSL","Yes","No","No","Yes","One year",71.9,3173.35,"No"
"192","Yes",6,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",91,531,"Yes"
"193","Yes",69,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.75,1375.4,"No"
"194","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Two year",109.7,8129.3,"No"
"195","Yes",59,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.3,1192.7,"No"
"196","Yes",20,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Month-to-month",96.55,1901.65,"No"
"197","Yes",24,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",24.1,587.4,"No"
"198","No",59,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Month-to-month",111.35,6519.75,"No"
"199","Yes",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Two year",112.25,8041.65,"No"
"200","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.75,20.75,"No"
"201","Yes",27,"Yes","No","Fiber optic","Yes","No","No","Yes","One year",101.9,2681.15,"No"
"202","No",14,"Yes","No","Fiber optic","No","Yes","No","Yes","Month-to-month",80.05,1112.3,"No"
"203","Yes",71,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Two year",105.55,7405.5,"No"
"204","No",13,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",78.3,1033.95,"No"
"205","No",44,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",68.85,2958.95,"No"
"206","No",33,"Yes","No","Fiber optic","No","Yes","No","Yes","One year",79.95,2684.85,"No"
"207","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Two year",55.45,4179.2,"No"
"208","No",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",79.9,79.9,"Yes"
"209","No",19,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Month-to-month",106.6,1934.45,"Yes"
"210","Yes",64,"Yes","No","Fiber optic","No","Yes","Yes","Yes","One year",102.45,6654.1,"No"
"211","No",2,"Yes","No","DSL","No","No","No","No","Month-to-month",46,84.5,"Yes"
"212","No",1,"No","No phone service","DSL","No","No","No","No","Month-to-month",25.25,25.25,"No"
"213","No",61,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.75,1124.2,"No"
"214","Yes",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20,540.05,"No"
"215","Yes",23,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",86.8,1975.85,"No"
"216","Yes",57,"No","No phone service","DSL","Yes","Yes","Yes","No","Month-to-month",58.75,3437.45,"No"
"217","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Two year",45.25,3139.8,"No"
"218","Yes",66,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Two year",56.6,3789.2,"No"
"219","Yes",65,"Yes","Yes","DSL","No","Yes","Yes","Yes","Two year",84.2,5324.5,"No"
"220","No",8,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",80,624.6,"No"
"221","No",4,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.15,268.35,"Yes"
"222","Yes",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",24.75,1836.9,"No"
"223","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.2,20.2,"No"
"224","Yes",4,"Yes","No","DSL","No","No","No","Yes","Month-to-month",50.05,179.35,"Yes"
"225","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.35,219.35,"No"
"226","No",24,"No","No phone service","DSL","Yes","No","No","No","One year",50.6,1288.75,"No"
"227","Yes",31,"Yes","No","DSL","Yes","No","Yes","Yes","One year",81.15,2545.75,"No"
"228","Yes",1,"Yes","No","DSL","No","No","No","No","Month-to-month",55.2,55.2,"Yes"
"229","No",30,"Yes","Yes","Fiber optic","No","No","No","Yes","Month-to-month",89.9,2723.15,"No"
"230","Yes",47,"Yes","Yes","DSL","Yes","Yes","No","Yes","Two year",85.3,4107.25,"No"
"231","No",54,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Two year",108,5760.65,"No"
"232","No",50,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Month-to-month",93.5,4747.5,"No"
"233","No",1,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",84.6,84.6,"Yes"
"234","No",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.25,1566.9,"No"
"235","No",29,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",25.15,702,"No"
"236","No",2,"Yes","Yes","DSL","No","Yes","No","No","Month-to-month",54.4,114.1,"Yes"
"237","No",10,"No","No phone service","DSL","No","No","No","Yes","Two year",29.6,299.05,"No"
"238","Yes",18,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",73.15,1305.95,"No"
"239","No",11,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",95,1120.3,"Yes"
"240","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.75,284.35,"No"
"241","No",72,"Yes","Yes","DSL","No","Yes","Yes","Yes","Two year",86.6,6350.5,"No"
"242","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Two year",109.2,7878.3,"No"
"243","Yes",41,"Yes","No","DSL","Yes","No","No","Yes","One year",74.7,3187.65,"No"
"244","Yes",65,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Month-to-month",94.4,6126.15,"No"
"245","No",13,"Yes","No","DSL","No","Yes","Yes","No","Month-to-month",54.8,731.3,"No"
"246","No",4,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",75.35,273.4,"No"
"247","No",41,"Yes","Yes","DSL","No","No","Yes","No","One year",65,2531.8,"No"
"248","No",15,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",74.4,1074.3,"Yes"
"249","No",1,"Yes","No","DSL","Yes","No","No","No","Month-to-month",48.55,48.55,"Yes"
"250","No",42,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","One year",99,4298.45,"No"
"251","Yes",51,"Yes","No","Fiber optic","Yes","Yes","Yes","No","One year",93.5,4619.55,"No"
"252","Yes",2,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.4,147.15,"Yes"
"253","Yes",1,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",40.2,40.2,"Yes"
"254","No",32,"Yes","Yes","DSL","No","Yes","Yes","Yes","One year",83.7,2633.3,"No"
"255","No",10,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.85,193.05,"No"
"256","Yes",67,"No","No phone service","DSL","No","Yes","Yes","Yes","Two year",59.55,4103.9,"No"
"257","Yes",61,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Two year",115.1,7008.15,"No"
"258","No",50,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","One year",114.35,5791.1,"No"
"259","Yes",2,"Yes","No","DSL","No","No","No","No","Month-to-month",44.6,80.55,"Yes"
"260","Yes",29,"No","No phone service","DSL","Yes","No","Yes","No","Month-to-month",45,1228.65,"No"
"261","No",3,"No","No phone service","DSL","No","No","Yes","No","Month-to-month",41.15,132.2,"Yes"
"262","No",13,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",106.9,1364.3,"Yes"
"263","Yes",57,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",89.85,4925.35,"No"
"264","No",31,"No","No phone service","DSL","Yes","Yes","No","Yes","Two year",49.85,1520.1,"No"
"265","Yes",45,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","One year",113.3,5032.25,"No"
