Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence
1,302,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,51,4,2,12,0,0,0,0,0,0,0,0,0,0,0
1,35,18,2,22,1,0,1,0,0,0,0,1,0,0,0
0,150,2,10,28,1,1,1,2,1,0,0,0,1,0,0
1,136,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,244,32,1,32,0,0,1,0,0,0,0,0,0,0,0
1,64,32,1,32,0,0,0,0,0,0,1,0,0,0,0
1,89,4,2,6,0,0,0,0,0,0,0,0,0,0,1
1,265,16,1,16,0,0,1,0,0,0,0,0,0,0,0
0,163,14,1,14,0,0,0,0,0,0,0,0,0,0,0
1,216,14,2,20,1,0,1,0,0,0,0,0,0,0,0
1,283,14,9,46,1,2,3,0,2,0,1,2,1,0,0
1,294,14,2,22,0,1,0,0,1,0,0,0,0,0,0
1,307,36,5,60,1,0,2,0,0,0,2,1,0,0,0
1,131,16,1,16,0,0,0,0,0,1,0,0,0,0,0
1,359,18,9,48,1,0,3,2,0,2,1,0,0,0,0
0,101,14,4,26,0,2,0,0,2,0,0,0,0,0,0
1,246,18,1,18,0,0,0,1,0,0,0,0,0,0,0
0,285,12,2,14,1,0,0,0,0,0,0,0,0,0,0
1,157,26,1,26,1,0,0,0,0,0,0,0,0,0,0
1,120,8,5,24,0,0,0,2,0,0,0,0,0,0,0
1,217,14,2,20,1,0,0,0,1,0,0,0,0,0,0
1,200,4,9,30,2,2,1,0,2,0,0,0,0,0,0
1,100,12,4,32,0,0,0,2,1,0,0,0,0,0,0
1,309,4,11,40,1,1,2,2,0,0,1,1,0,0,0
0,354,6,10,56,1,3,4,1,0,0,0,0,0,0,0
1,163,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1,66,12,2,20,0,0,1,0,0,0,0,0,0,0,0
1,169,16,4,34,1,0,0,0,0,0,3,0,0,0,0
1,224,4,1,4,0,0,0,0,0,0,0,0,0,0,0
0,222,16,2,20,0,1,1,0,0,0,0,1,0,0,0
1,477,20,12,68,2,1,5,0,0,1,3,1,0,0,0
1,143,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,295,32,2,40,2,0,0,0,0,0,0,0,0,0,0
1,69,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1,275,8,10,62,1,1,1,2,1,2,0,1,1,2,0
1,54,12,3,24,1,0,0,0,0,1,0,0,0,0,0
0,201,34,6,54,3,1,0,0,1,0,1,0,0,0,0
1,149,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,364,14,8,54,2,2,2,0,0,1,1,1,0,0,0
0,86,14,5,40,1,0,0,0,2,2,0,0,0,0,1
1,151,12,4,34,0,1,0,1,1,0,0,0,0,0,0
1,229,8,2,12,0,0,0,0,0,0,0,0,0,0,0
1,227,2,9,42,1,0,0,1,0,2,0,0,0,0,0
1,246,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,43,10,2,16,1,0,0,0,0,0,0,0,0,0,0
1,158,12,2,14,0,1,0,0,0,0,0,0,0,0,0
0,327,16,2,24,0,0,0,1,0,0,1,0,0,0,0
1,164,2,3,16,1,0,0,0,0,0,0,0,0,0,1
0,158,6,9,56,1,1,1,1,1,0,3,0,0,0,1
0,206,10,2,16,1,0,0,0,0,0,0,0,0,0,0
1,319,4,2,10,0,0,0,0,0,0,0,0,0,0,0
0,39,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,295,6,2,14,0,0,1,0,0,0,0,0,0,0,0
1,178,14,1,14,0,1,0,0,0,0,0,0,0,0,0
1,128,32,5,48,1,0,1,0,0,0,3,0,0,0,0
1,311,2,9,34,2,1,2,2,0,0,0,0,0,0,0
0,391,8,9,48,1,1,2,1,3,0,0,0,0,0,0
0,88,18,2,22,1,0,0,0,1,0,0,0,0,0,0
1,97,2,2,10,0,0,0,0,0,0,0,0,0,0,0
0,250,12,12,36,1,1,3,2,1,3,0,1,1,1,1
1,102,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1,273,14,2,20,0,0,0,1,0,1,0,0,0,0,0
1,362,14,5,42,1,0,2,0,1,0,1,1,1,0,0
0,271,12,2,14,0,1,0,0,0,0,0,0,0,0,0
0,24,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,280,14,2,22,0,0,1,0,0,0,0,0,0,0,0
1,203,18,1,18,0,0,1,0,0,0,0,0,0,0,0
1,304,16,2,18,1,0,0,1,0,0,0,0,0,0,0
0,164,12,3,24,0,1,1,0,0,0,0,0,0,0,0
1,32,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,178,30,2,34,0,0,1,0,0,0,1,0,0,0,0
1,130,12,1,12,0,0,0,0,0,0,0,0,0,0,1
0,177,30,9,76,1,2,2,1,1,2,0,0,0,0,0
1,90,10,2,14,0,1,0,0,0,0,0,0,0,0,0
1,292,14,1,14,0,1,0,0,0,0,0,0,0,0,0
1,226,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1,73,12,2,18,0,1,0,0,0,0,0,0,0,0,0
0,123,4,2,10,0,0,0,0,0,0,0,0,0,0,0
1,432,12,11,76,3,2,2,0,0,1,2,0,0,0,0
1,218,22,1,22,0,0,0,1,0,0,0,0,0,0,0
1,448,12,12,48,4,5,1,0,0,1,0,1,0,1,0
1,37,16,2,22,0,0,0,2,0,0,0,0,0,0,0
1,246,6,9,40,1,2,4,0,1,0,0,0,0,0,0
0,200,8,3,24,0,1,0,0,0,0,1,0,0,0,0
1,220,16,3,24,1,0,2,0,0,0,0,1,0,0,0
0,238,24,1,24,0,0,0,0,0,1,0,0,0,0,0
0,152,16,9,66,0,1,4,0,2,1,1,0,0,0,0
1,361,6,6,36,1,0,2,0,0,1,1,1,0,1,1
0,60,14,4,32,1,1,2,0,0,0,0,1,0,0,0
0,438,12,11,76,4,0,2,4,0,0,0,1,0,0,0
1,58,2,1,2,0,0,0,0,0,0,0,0,0,0,0
0,61,10,3,20,2,0,0,0,0,0,0,0,0,0,0
1,194,14,2,22,0,0,0,0,0,2,0,0,0,0,0
1,239,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,68,16,1,16,0,0,0,0,0,1,0,0,0,0,0
1,88,16,1,16,0,0,0,1,0,0,0,0,0,0,0
1,300,14,1,14,0,0,1,0,0,0,0,0,0,0,0
0,363,14,7,42,1,2,1,1,1,0,1,0,0,0,0
1,234,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,191,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,178,26,2,28,0,0,0,1,1,0,0,0,0,0,0
1,146,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,374,36,11,66,3,1,2,1,2,0,2,0,0,0,0
0,109,14,2,20,0,0,1,0,1,0,0,0,0,0,0
1,120,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1,210,16,1,16,1,0,0,0,0,0,0,0,0,0,0
0,282,14,2,18,0,0,0,1,0,1,0,0,0,0,0
1,260,32,1,32,0,0,0,0,0,0,1,0,0,0,0
1,340,12,6,30,2,1,1,0,0,0,1,0,0,0,0
1,441,10,12,72,2,1,0,2,1,2,3,0,0,0,1
0,95,8,2,12,0,0,0,0,0,0,0,0,0,0,0
0,34,10,2,16,1,0,0,0,0,0,0,0,0,0,0
1,125,32,1,32,0,0,0,0,0,0,1,0,0,0,0
1,329,14,3,24,0,0,1,0,0,2,0,0,0,0,0
1,79,16,1,16,0,0,1,0,0,0,0,0,0,0,0
1,96,26,2,28,0,0,0,0,1,0,1,0,0,0,0
1,173,20,2,28,0,0,1,1,0,0,0,0,0,0,0
1,364,16,8,60,0,1,3,0,0,1,3,0,0,0,0
0,212,16,5,38,1,0,1,2,0,0,1,1,0,0,1
1,124,16,2,22,2,0,0,0,0,0,0,0,0,0,0
1,167,18,5,32,1,0,1,3,0,0,0,0,0,0,0
1,80,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,318,8,2,10,0,0,0,0,0,0,0,0,0,0,0
1,260,12,1,12,0,0,0,0,0,0,0,0,0,0,0
0,148,6,4,20,0,0,0,0,0,1,0,0,0,0,1
0,243,4,1,4,0,0,0,0,0,0,0,0,0,0,0
0,40,22,1,22,0,0,0,1,0,0,0,0,0,0,0
1,121,12,5,32,1,0,0,1,0,0,0,0,0,0,0
1,384,10,8,46,3,0,1,1,1,1,0,0,0,0,0
1,90,10,5,38,0,0,2,0,0,0,1,1,0,0,0
1,107,14,6,36,1,0,2,0,2,0,1,0,0,0,0
1,53,12,2,14,0,0,1,0,0,0,0,0,0,0,0
1,232,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,329,16,5,36,2,0,1,1,0,1,0,0,0,0,0
0,90,12,3,26,1,0,0,0,1,0,0,0,0,0,0
1,192,34,6,52,0,0,3,2,0,1,0,0,0,0,0
0,419,14,12,50,2,0,4,1,2,1,2,2,1,1,0
1,153,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,305,16,8,60,2,0,0,2,2,0,2,0,0,0,0
1,218,14,8,48,1,0,3,1,0,1,2,0,0,0,0
1,33,2,1,2,0,0,0,0,0,0,0,0,0,0,0
0,135,16,4,26,0,0,2,0,1,0,1,0,0,0,0
1,320,6,2,12,0,0,0,0,0,0,0,0,0,0,0
1,174,16,2,22,0,0,0,0,1,0,1,0,0,0,1
1,285,6,9,56,1,1,2,1,0,0,2,1,0,0,0
0,208,4,2,8,0,0,0,0,0,0,0,0,0,0,0
1,45,26,2,34,2,0,0,0,0,0,0,0,0,0,0
0,77,8,1,8,0,0,0,0,0,0,0,0,0,0,0
0,90,10,2,14,1,0,0,0,0,0,0,0,0,0,0
1,297,8,7,22,0,2,1,0,0,1,0,0,0,0,0
1,347,10,6,28,2,0,1,1,0,0,0,1,0,0,0
1,188,36,6,62,2,0,2,0,0,1,1,0,0,0,0
1,252,2,1,2,0,0,0,0,0,0,0,0,0,0,0
0,415,16,12,68,5,0,0,2,1,1,3,0,0,0,1
1,146,14,2,18,0,1,1,0,0,0,0,0,0,0,0
1,142,4,2,6,0,0,0,0,0,0,0,0,0,0,0
1,232,26,2,30,0,0,1,0,1,0,0,0,0,0,0
0,326,22,4,38,2,0,0,1,0,0,1,0,0,0,0
1,131,8,6,30,0,1,1,1,0,0,0,0,0,0,0
0,166,16,1,16,0,0,0,0,0,0,1,0,0,0,0
1,44,16,2,18,0,0,1,0,1,0,0,0,0,0,0
1,159,34,1,34,0,0,1,0,0,0,0,0,0,0,0
0,210,34,1,34,0,0,1,0,0,0,0,0,0,0,0
1,143,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,212,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,201,32,1,32,1,0,0,0,0,0,0,0,0,0,0
1,110,10,6,28,0,2,1,0,1,0,0,0,0,0,0
1,18,16,1,16,0,1,0,0,0,0,0,0,0,0,0
1,267,16,2,18,0,0,2,0,0,0,0,0,0,0,0
1,38,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,284,10,5,20,0,1,2,0,1,0,0,0,0,0,0
1,332,12,10,48,2,1,3,1,0,1,0,1,0,1,0
1,124,4,1,4,0,0,0,0,0,0,0,0,0,0,0
0,192,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,267,12,6,38,1,2,1,0,1,0,0,1,1,0,0
1,324,10,2,14,1,0,0,0,0,0,0,0,0,0,0
1,199,4,10,34,3,0,2,1,2,1,0,0,0,0,0
0,356,4,6,22,1,0,0,1,0,0,0,0,0,0,1
1,475,4,12,52,4,0,2,2,1,0,1,0,0,0,0
1,258,14,2,18,1,0,0,0,1,0,0,0,0,0,0
0,268,12,7,46,0,0,2,1,1,2,0,1,0,0,1
1,101,10,2,18,0,1,0,0,0,0,0,0,0,0,0
1,238,8,4,28,1,0,0,0,1,1,0,0,1,1,0
1,305,14,8,56,0,1,4,2,0,0,1,0,0,0,0
0,269,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,240,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,218,24,2,30,1,0,1,0,0,0,0,0,0,0,0
0,155,30,6,44,1,0,3,0,0,0,2,0,0,0,1
0,285,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,317,14,9,64,1,3,1,2,0,1,1,0,0,0,0
0,361,16,11,80,2,1,6,0,2,0,0,0,0,0,0
1,370,10,8,50,2,0,2,0,0,1,1,0,0,0,0
0,339,8,7,46,1,1,0,2,1,1,0,0,0,0,0
0,48,10,1,10,0,0,0,0,0,0,0,0,0,0,1
0,169,14,3,24,0,0,0,0,1,2,0,0,1,1,1
1,75,4,2,10,0,0,0,0,0,0,0,0,0,0,0
0,133,16,3,26,0,1,0,1,1,0,0,0,0,0,0
1,330,14,6,34,3,0,0,0,3,0,0,0,1,0,0
0,102,8,5,26,1,1,1,1,0,0,0,0,0,0,0
1,311,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,316,16,3,30,0,0,2,0,0,0,1,0,0,0,0
1,230,2,12,32,0,4,2,1,0,0,0,2,0,0,0
1,246,34,2,40,0,0,0,0,0,0,2,0,0,0,0
0,219,10,6,28,2,0,1,0,0,1,1,1,0,1,1
1,127,4,2,6,0,0,0,0,0,0,0,0,0,0,0
1,256,16,4,36,2,0,0,1,0,1,0,0,0,0,0
0,369,16,6,40,1,0,3,0,1,0,1,1,1,0,1
1,269,32,1,32,0,1,0,0,0,0,0,0,0,0,0
1,248,16,7,44,1,1,3,0,0,1,1,1,0,0,0
1,293,18,9,42,2,0,1,1,2,1,2,0,0,0,0
1,211,28,1,28,0,0,1,0,0,0,0,0,0,0,0
1,82,16,3,26,0,1,0,0,0,1,1,0,0,0,0
0,304,20,2,22,0,0,2,0,0,0,0,0,0,0,0
1,177,8,1,8,0,0,0,0,0,0,0,0,0,0,0
0,248,16,8,38,3,0,2,1,0,1,1,0,0,0,1
1,86,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,149,16,2,18,1,0,0,0,0,0,1,0,0,0,0
0,158,32,2,34,0,0,1,1,0,0,0,0,0,0,0
1,212,32,2,38,0,0,2,0,0,0,0,1,0,0,0
1,422,18,9,56,3,0,5,1,0,0,0,0,0,0,0
1,277,14,2,20,1,0,1,0,0,0,0,1,0,0,0
1,222,10,2,14,0,0,0,0,0,0,0,0,0,0,0
0,177,10,1,10,0,0,0,0,0,0,0,0,0,0,0
0,230,2,1,2,0,0,0,0,0,0,0,0,0,0,1
0,248,34,7,52,4,0,0,1,1,1,0,0,0,0,0
0,24,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,130,2,2,8,0,0,0,0,0,0,0,0,0,0,0
1,34,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1,145,4,2,12,0,0,0,0,0,0,0,0,0,0,0
1,121,26,1,26,1,0,0,0,0,0,0,0,0,0,0
1,424,10,11,64,0,4,2,1,0,1,2,0,0,0,0
1,233,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,221,10,2,12,0,0,0,0,0,0,0,0,0,0,0
1,287,6,9,38,1,1,2,0,0,1,2,0,0,0,0
1,206,16,2,24,0,0,0,0,0,1,1,0,0,0,0
0,148,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,345,6,5,20,0,0,2,0,1,0,0,0,0,0,0
0,173,14,2,20,0,0,0,1,1,0,0,0,0,0,0
1,240,16,11,76,5,1,1,2,1,1,0,0,0,0,0
1,223,10,6,24,0,0,2,1,1,0,0,0,0,0,0
0,74,4,2,6,0,0,0,0,0,0,0,0,0,0,0
1,246,10,8,32,3,0,0,1,1,1,0,0,0,0,0
0,148,16,1,16,0,0,1,0,0,0,0,0,0,0,0
1,54,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,189,14,1,14,1,0,0,0,0,0,0,0,0,0,0
1,26,16,1,16,0,0,0,0,1,0,0,0,0,0,0
1,99,4,1,4,0,0,0,0,0,0,0,0,0,0,0
0,249,14,8,40,1,1,3,0,0,1,2,1,0,0,0
1,137,16,1,16,0,0,1,0,0,0,0,0,0,0,0
0,221,2,8,20,1,0,0,2,0,1,0,0,0,0,0
1,180,4,2,6,0,0,0,0,0,0,0,0,0,0,0
0,404,28,11,88,3,1,1,0,2,1,3,0,0,0,0
1,329,12,2,14,0,0,1,0,0,0,0,0,0,0,0
1,198,26,2,30,1,0,0,0,0,1,0,0,0,0,0
1,252,14,1,14,0,0,0,1,0,0,0,0,0,0,0
1,379,24,10,60,2,1,1,1,0,2,3,0,0,1,0
1,300,16,2,18,1,0,0,0,0,1,0,0,0,0,0
1,364,14,8,52,3,0,1,1,2,1,0,0,0,0,0
1,253,6,12,38,7,0,1,1,0,0,2,0,0,0,0
0,232,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,128,16,2,20,1,0,0,1,0,0,0,0,0,0,0
1,266,10,4,32,0,0,0,0,2,1,0,0,1,1,0
1,106,16,1,16,0,0,1,0,0,0,0,0,0,0,0
1,174,14,2,16,0,0,1,0,1,0,0,0,0,0,0
1,243,4,1,4,0,0,0,0,0,0,0,0,0,0,0
1,111,8,2,14,0,1,0,0,0,0,0,0,0,0,0
1,288,16,5,32,1,2,1,0,0,1,0,0,0,0,0
1,157,2,2,10,0,0,0,0,0,0,0,0,0,0,0
1,97,16,2,18,0,0,0,0,1,1,0,0,0,0,0
1,168,16,2,24,1,0,1,0,0,0,0,1,0,0,0
0,243,10,12,48,1,2,3,1,1,1,1,0,0,0,1
1,152,4,2,10,0,0,0,0,0,0,0,0,0,0,0
1,47,2,3,10,0,0,0,0,0,0,0,0,0,0,1
1,67,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,320,6,3,18,0,1,0,0,0,0,1,0,0,0,0
1,100,14,1,14,0,0,0,0,1,0,0,0,0,0,0
0,354,26,7,42,1,2,2,0,0,0,2,1,0,0,0
1,144,6,8,38,0,0,2,1,1,1,1,1,1,1,0
1,268,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,40,10,2,16,0,0,1,0,0,0,0,0,0,0,0
1,65,16,1,16,0,0,0,0,0,0,1,0,0,0,0
1,307,16,2,24,1,1,0,0,0,0,0,0,0,0,0
1,261,22,2,30,0,0,1,0,0,0,1,0,0,0,0
1,273,16,1,16,1,0,0,0,0,0,0,0,0,0,0
0,163,6,2,14,1,0,0,0,0,0,0,0,0,0,0
1,235,12,7,52,1,0,3,0,0,2,0,0,0,0,0
1,57,18,2,24,1,0,0,0,0,0,1,0,0,0,0
1,43,2,2,4,0,0,0,0,0,0,0,0,0,0,1
1,289,4,6,28,0,0,2,0,0,0,0,1,0,0,1
1,222,6,2,10,0,0,0,0,0,0,0,0,0,0,0
1,94,8,3,26,0,0,0,0,0,0,1,0,0,0,0
0,226,14,2,22,0,0,0,0,1,0,0,0,0,0,0
1,217,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1,193,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,377,6,12,34,3,1,0,0,0,2,2,0,0,0,1
1,294,16,3,22,1,1,0,0,0,0,1,0,0,0,0
1,28,12,1,12,0,0,0,0,0,0,0,0,0,0,0
0,142,10,1,10,0,0,0,0,0,0,0,0,0,0,0
